english,french
Success,Succès
start,commencer
Validation failed,Échec de la validation
length,longueur
order,commande
react,réagir
Error,Erreur
Upload List,Liste de téléchargement
Cancel,Annuler
filters ,filtres
Upload Packages List,Télécharger la liste des colis
Uploaded Successfully,Téléchargé avec succès
Something went wrong! Contact Admin,Quelque chose n'a pas fonctionné ! Contacter l'administrateur
contained,contenu
Upload Partially Successful,Chargement partiellement réussi
Missing Items,Articles manquants
No missing items found.,Aucun élément manquant n'a été trouvé.
Kit PN,Kit PN
Close,Fermer
md,md
Missing Items (Upload Partially Successful: Review missing items for details.),Éléments manquants (téléchargement partiellement réussi : vérifiez les éléments manquants pour plus de détails).
Alias,Alias
QQBook,QQBook
contain,contenir
auto,automobile
superadmin,superadministrateur
Admin Banner,Bannière administrative
use client,use client
none,aucun
Sensors,Capteurs
Download List,Liste de téléchargement
Downloading in Progress,Téléchargement en cours
Not able to download file. Contact admin,Impossible de télécharger le fichier. Contacter l'administrateur
The requested resource was not found.,La ressource demandée n'a pas été trouvée.
ASC,ASC
basic,de base
Actions,Actions
Part Number,Numéro de pièce
Upload Sensors List,Télécharger la liste des capteurs
SensorsTable,Table des capteurs
top,sommet
initial,initial
Edit Sensor,Edit Sensor
filled,rempli
Created Sensor!,Capteur créé !
caption,légende
* Required Field,* Champ obligatoire
Please fill out the required fields.,Veuillez remplir les champs obligatoires.
Edit Part Number,Modifier le numéro de pièce
Update,Mise à jour
Updated Sensor!,Capteur mis à jour !
Add Part Number,Ajouter un numéro de pièce
left,gauche
Add,Ajouter
Sensor,Capteur
true,vrai
Manufacturers,Fabricants
Assign Tire Manufacturer,Attribuer un fabricant de pneus
Save,Économiser
Copy Record,Copie de l'enregistrement
Edit Package Details,Modifier les détails du paquet
Delete Record,Supprimer l'enregistrement
File Uploaded Successfully,Fichier téléchargé avec succès
center,centre
Unable to upload File,Impossible de télécharger le fichier
Upload an Excel file:,Télécharger un fichier Excel :
Upload,Télécharger
file,fichier
flex,fléchir
Change Log:,Journal des modifications :
Download,Télécharger
Activate TPMS Bonus,Activer le bonus TPMS
TPMS Bonus,Bonus TPMS
pointer,pointeur
relative,relatif
&:hover,&:hover
Booking Offers,Offres de réservation
capitalize,capitaliser
& figure,& figure
Delete Image,Supprimer l'image
Delete Logo,Supprimer le logo
string,chaîne de caractères
grey,gris
span,la travée
No file chosen,Pas de fichier choisi
label,étiquette
Choose File,Choisir un fichier
"Select which OE Tire brands to include in all programs. You can also manage these per
        program when creating a new one.","Sélectionnez les marques de pneus d'origine à inclure dans tous les programmes. Vous pouvez également gérer ces marques par programme lorsque vous en créez un nouveau.
        programme lors de la création d'un nouveau programme."
OE Tires,OE Tires
Enter brand name,Saisir le nom de la marque
Add Brand Name,Ajouter le nom de la marque
Brand Name,Nom de la marque
OE Tire Brand,Marque du pneu OE
Type Home Screen Message,Type Message de l'écran d'accueil
Dealer Notification Messages,Messages de notification du concessionnaire
Ribbon Message,Message du ruban
Type Ribbon Message,Type de ruban Message
Display,Affichage
Home Screen Message,Message sur l'écran d'accueil
imageHtml,imageHtml
Logo,Logo
OEM NAME (QQ),OEM NAME (QQ)
OEM NAME,NOM OEM
address,adresse
name,nom
Unable to fetch OEMs details!,Impossible de récupérer les détails des OEM !
OEs,OEs
Upload Logo *,Télécharger le logo *
Update OEM!,Mise à jour de l'OEM !
Add OE,Ajouter OE
button,bouton
Logo is required,Le logo est obligatoire
newLogo,nouveauLogo
Edit OE,Editer OE
OE,OE
Edit OEM,Modifier l'équipementier
Unable to fetch details!,Impossible d'obtenir les détails !
Report not found. Contact Admin,Rapport non trouvé. Contact Admin
gray,gris
div,div
Live,En direct
Closed,Fermé
primary,primaire
Draft,Projet
Export Reports,Exporter des rapports
Total %,Total %
TPMS Selected,TPMS Sélectionné
Status,Statut
Booked Current,Réservé Courant
target,cible
Booking not yet started,La réservation n'a pas encore commencé
Submission Status,État de la soumission
DESC,DESC
Past $,Passé $
"Booking started, below target","Début des réservations, inférieur à l'objectif"
Pkgs,Pkgs
Previous Booked,Précédent Réservé
Target met,Cible avec
red,rouge
TPMS Earned,TPMS gagné
Loose Total,En vrac Total
Current $,Courant $
Dealer Name,Nom du dealer
total,total
orange,orange
Something went wrong while updating.,Un problème s'est produit lors de la mise à jour.
API error:,Erreur API :
Submission status checkbox,Case à cocher sur l'état de la soumission
Successfully updated submission status!,Mise à jour réussie de l'état de la soumission !
Update failed,Échec de la mise à jour
Create Program,Créer un programme
Edit Program,Edit Program
errr,errr
white,blanc
Updated Successfully,Mise à jour réussie
*Required Field,*Champ requis
Create A New Program,Créer un nouveau programme
Save Draft,Sauvegarder le projet
Delete Program,Supprimer un programme
Not able to delete. Please contact Admin.,Impossible de supprimer. Veuillez contacter l'administrateur.
Please fill out the required fields to Save.,Veuillez remplir les champs requis pour enregistrer votre demande.
Launch,Lancement
Created Successfully,Créé avec succès
Not able Save details. Contact Admin,Impossible de sauvegarder les détails. Contact Admin
Record deleted successully,Enregistrement supprimé avec succès
normal,normal
bold,audacieux
fwNormal,fwNormal
Warning:,Avertissement :
– File Uploaded,- Fichier téléchargé
fwBold,fwBold
Last Updated:,Dernière mise à jour :
"you will be unable to change pricing once program
        is live.","vous ne pourrez pas modifier les prix une fois que le programme
        est en ligne."
italic,italique
NA,NA
absolute,absolu
dealers,dealers
company,entreprise
Dealer,Dealer
New Target,Nouvelle cible
Only applies to winter programs.,S'applique uniquement aux programmes d'hiver.
Accessories Last Updated:,Accessoires Dernière mise à jour :
Packages Last Updated:,Dernière mise à jour des paquets :
Select a date,Sélectionnez une date
"If the program start date is in the future your program will be set to draft until it goes
        live making changes easy.","Si la date de début du programme se situe dans le futur, votre programme sera considéré comme une ébauche jusqu'à ce qu'il soit mis en ligne, ce qui facilite les modifications.
        jusqu'à ce qu'il soit mis en ligne, ce qui facilite les changements."
Booking Type*,Type de réservation*
end,fin
Black Out Dates Packages,Forfaits Black Out Dates
End Date *,Date de fin *
Program name is required.,Le nom du programme est obligatoire.
TPMS Bonus Date,Date de bonus TPMS
T,T
Start date is required.,La date de début est requise.
Select what season this will be to allow for comparative analytics.,Sélectionnez la saison à laquelle il s'agira de procéder à des analyses comparatives.
 to , à
Program Name*,Nom du programme
Spring,Printemps
End date is required.,La date de fin est obligatoire.
Start Date *,Date de début *
off,éteint
Fall,Cas
Black Out Dates,Black Out Dates
Other,Autres
textSecondary,texteSecondaire
Unable to fetch OE admins details!,Impossible de récupérer les détails des administrateurs de l'OE !
"columnsUsers(sort, setUsers, users?.dealerships), [sort, users]);

  return (","columnsUsers(sort, setUsers, users ?.dealerships), [sort, users]) ;

  return ("
Admin Users,Utilisateurs administratifs
role,rôle
Full Name,Nom complet
Email,Courriel
Last Login,Dernier login
Active,Actif
Admin User,Utilisateur Admin
Updated OE Admin User!,Mise à jour de l'utilisateur Admin OE !
wrap,envelopper
Edit Admin User,Edit Admin Utilisateur
password,mot de passe
Confirm Password,Confirmer le mot de passe
Add Admin User,Ajouter un utilisateur Admin
username,nom d'utilisateur
Passwords do not match,Les mots de passe ne correspondent pas
Regional Manager,Directeur régional
outlined,esquissée
 (  ), ( )
OE Manager,OE Manager
cpassword,mot de passe
table,table
Yukon,Yukon
Alberta,Alberta
British Columbia,Colombie-Britannique
The dealership name is required.,Le nom du concessionnaire est obligatoire.
The Dealership Phone is required.,Le téléphone du concessionnaire est nécessaire.
Nunavut,Nunavut
state,État
text,texte
Password *,Mot de passe *
Manitoba,Manitoba
dealerCustomerName,dealerCustomerName
